2025-07-05 09:33:02,452 - INFO - --- Starting ProjectX Backtest for ['MNQ'] from 2025-06-30 00:00:00 to 2025-07-03 00:00:00 ---
2025-07-05 09:33:02,453 - INFO - Initial Balance: $2,000.00
2025-07-05 09:33:02,623 - INFO - 
--- Simulating Day: 2025-06-30 ---
2025-07-05 09:33:02,792 - WARNING - No previous trading day with RTH data found before 2025-06-30. Searched 180 past dates.
2025-07-05 09:33:02,793 - INFO - Calculated Premarket Levels from 2025-06-30: PMH=22916.00, PML=22853.00
2025-07-05 09:33:02,793 - INFO - CRITICAL: Could not calculate PDH/PDL for MNQ on 2025-06-30. Skipping day.
2025-07-05 09:33:02,794 - WARNING - No data for any symbol on 2025-06-30. Skipping day.
2025-07-05 09:33:02,794 - INFO - 
--- Simulating Day: 2025-07-01 ---
2025-07-05 09:33:02,798 - INFO - Calculated RTH PDH/PDL from 2025-06-30: PDH=22934.00, PDL=22780.00
2025-07-05 09:33:02,800 - INFO - Calculated Premarket Levels from 2025-07-01: PMH=22858.50, PML=22756.00
2025-07-05 09:33:02,806 - INFO - --- Starting Minute-by-Minute Simulation ---
2025-07-05 09:33:02,823 - INFO -   >>> BREAK_EVENT MNQ 2025-07-01 10:32:00 UTC / 10:32:00 ET: O=22776.50 H=22783.50 L=22743.00 C=22748.00 vs PML 22756.00
2025-07-05 09:33:02,823 - INFO - [2025-07-01 10:33:00 UTC / 10:33:00 ET] Symbol: MNQ, State: AWAITING_RETEST, Price: 22748.00
2025-07-05 09:33:02,824 - INFO - [2025-07-01 10:34:00 UTC / 10:34:00 ET] Symbol: MNQ, State: AWAITING_RETEST, Price: 22748.00
2025-07-05 09:33:02,824 - INFO - [2025-07-01 10:35:00 UTC / 10:35:00 ET] Symbol: MNQ, State: AWAITING_RETEST, Price: 22748.00
2025-07-05 09:33:02,824 - INFO - [2025-07-01 10:36:00 UTC / 10:36:00 ET] Symbol: MNQ, State: AWAITING_RETEST, Price: 22728.25
2025-07-05 09:33:02,824 - INFO -   -> [2025-07-01 10:36:00 UTC / 10:36:00 ET] RETEST DETECTED on MNQ at 22756.00. Waiting for confirmation candle.
2025-07-05 09:33:02,825 - INFO - [2025-07-01 10:37:00 UTC / 10:37:00 ET] Symbol: MNQ, State: AWAITING_CONFIRMATION, Price: 22728.25
2025-07-05 09:33:02,825 - INFO -   -> [2025-07-01 10:37:00 UTC / 10:37:00 ET] CONFIRMATION PASSED for MNQ. Validating trade.
2025-07-05 09:33:02,825 - INFO -   -> [2025-07-01 10:37:00 UTC / 10:37:00 ET] TRADE OPEN: SELL 2 MNQ @ 22728.25
2025-07-05 09:33:02,825 - INFO - [2025-07-01 10:38:00 UTC / 10:38:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22724.00
2025-07-05 09:33:02,825 - INFO - [2025-07-01 10:39:00 UTC / 10:39:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22724.00
2025-07-05 09:33:02,825 - INFO - [2025-07-01 10:40:00 UTC / 10:40:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22713.75
2025-07-05 09:33:02,826 - INFO - [2025-07-01 10:41:00 UTC / 10:41:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22713.75
2025-07-05 09:33:02,826 - INFO - [2025-07-01 10:42:00 UTC / 10:42:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22717.00
2025-07-05 09:33:02,826 - INFO - [2025-07-01 10:43:00 UTC / 10:43:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22717.00
2025-07-05 09:33:02,826 - INFO - [2025-07-01 10:44:00 UTC / 10:44:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22701.00
2025-07-05 09:33:02,827 - INFO - [2025-07-01 10:45:00 UTC / 10:45:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22701.00
2025-07-05 09:33:02,827 - INFO - [2025-07-01 10:46:00 UTC / 10:46:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22707.50
2025-07-05 09:33:02,828 - INFO - [2025-07-01 10:47:00 UTC / 10:47:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22707.50
2025-07-05 09:33:02,828 - INFO - [2025-07-01 10:48:00 UTC / 10:48:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22705.25
2025-07-05 09:33:02,830 - INFO - [2025-07-01 10:49:00 UTC / 10:49:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22705.25
2025-07-05 09:33:02,830 - INFO - [2025-07-01 10:50:00 UTC / 10:50:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22712.00
2025-07-05 09:33:02,831 - INFO - [2025-07-01 10:51:00 UTC / 10:51:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22712.00
2025-07-05 09:33:02,831 - INFO - [2025-07-01 10:52:00 UTC / 10:52:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22705.25
2025-07-05 09:33:02,832 - INFO - [2025-07-01 10:53:00 UTC / 10:53:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22705.25
2025-07-05 09:33:02,849 - INFO - [2025-07-01 10:54:00 UTC / 10:54:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22702.75
2025-07-05 09:33:02,849 - INFO - [2025-07-01 10:55:00 UTC / 10:55:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22702.75
2025-07-05 09:33:02,849 - INFO - [2025-07-01 10:56:00 UTC / 10:56:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22695.50
2025-07-05 09:33:02,850 - INFO - [2025-07-01 10:57:00 UTC / 10:57:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22695.50
2025-07-05 09:33:02,850 - INFO - [2025-07-01 10:58:00 UTC / 10:58:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22688.25
2025-07-05 09:33:02,850 - INFO - [2025-07-01 10:59:00 UTC / 10:59:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22688.25
2025-07-05 09:33:02,850 - INFO - [2025-07-01 11:00:00 UTC / 11:00:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22697.50
2025-07-05 09:33:02,850 - INFO - [2025-07-01 11:01:00 UTC / 11:01:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22697.50
2025-07-05 09:33:02,851 - INFO - [2025-07-01 11:02:00 UTC / 11:02:00 ET] Symbol: MNQ, State: IN_TRADE, Price: 22704.00
